term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),2.5436635072687704e-15,15.076716339189668,-2.228944968605988,0.02581756657929727,1.0485309787569675e-32,3.1632536885246065e-6
mpg,3.5240631543659586,0.567469695808609,2.21970378054232,0.02643888205612066,1.6071554946082125,15.969384403074967
hp,1.0565877153613041,0.026916575172037063,2.0450067942930095,0.04085418827272831,1.016748082684836,1.1334727016584607
