term,estimate,std.error,statistic,p.value
(Intercept),39.68626148025295,1.7149840116209534,23.140892982869644,3.0431815633213425e-20
wt,-3.1909721389837458,0.7569064919503936,-4.215807597000868,2.2202004951620097e-4
cyl,-1.5077949682597982,0.4146882882361137,-3.6359719119950054,0.001064281784794932
